Date,Country,Active cases
2020-01-22,India,0
2020-01-23,India,0
2020-01-24,India,0
2020-01-25,India,0
2020-01-26,India,0
2020-01-27,India,0
2020-01-28,India,0
2020-01-29,India,0
2020-01-30,India,1
2020-01-31,India,1
2020-02-01,India,1
2020-02-02,India,2
2020-02-03,India,3
2020-02-04,India,3
2020-02-05,India,3
2020-02-06,India,3
2020-02-07,India,3
2020-02-08,India,3
2020-02-09,India,3
2020-02-10,India,3
2020-02-11,India,3
2020-02-12,India,3
2020-02-13,India,3
2020-02-14,India,3
2020-02-15,India,3
2020-02-16,India,0
2020-02-17,India,0
2020-02-18,India,0
2020-02-19,India,0
2020-02-20,India,0
2020-02-21,India,0
2020-02-22,India,0
2020-02-23,India,0
2020-02-24,India,0
2020-02-25,India,0
2020-02-26,India,0
2020-02-27,India,0
2020-02-28,India,0
2020-02-29,India,0
2020-03-01,India,0
2020-03-02,India,2
2020-03-03,India,2
2020-03-04,India,25
2020-03-05,India,27
2020-03-06,India,28
2020-03-07,India,31
2020-03-08,India,36
2020-03-09,India,40
2020-03-10,India,52
2020-03-11,India,57
2020-03-12,India,68
2020-03-13,India,76
2020-03-14,India,96
2020-03-15,India,98
2020-03-16,India,104
2020-03-17,India,125
2020-03-18,India,139
2020-03-19,India,175
2020-03-20,India,219
2020-03-21,India,303
2020-03-22,India,362
2020-03-23,India,462
2020-03-24,India,486
2020-03-25,India,602
2020-03-26,India,662
2020-03-27,India,794
2020-03-28,India,879
2020-03-29,India,902
2020-03-30,India,1117
2020-03-31,India,1239
2020-04-01,India,1792
2020-04-02,India,2280
2020-04-03,India,2303
2020-04-04,India,2767
2020-04-05,India,3260
2020-04-06,India,4267
2020-04-07,India,4740
2020-04-08,India,5232
2020-04-09,India,5879
2020-04-10,India,6578
2020-04-11,India,7189
2020-04-12,India,7794
2020-04-13,India,8914
2020-04-14,India,9735
2020-04-15,India,10485
2020-04-16,India,11214
2020-04-17,India,11825
2020-04-18,India,12738
2020-04-19,India,14202
2020-04-20,India,14674
2020-04-21,India,15460
2020-04-22,India,16319
2020-04-23,India,17344
2020-04-24,India,18252
2020-04-25,India,19519
2020-04-26,India,20486
2020-04-27,India,21375
2020-04-28,India,22569
2020-04-29,India,23546
2020-04-30,India,24641
2020-05-01,India,26027
2020-05-02,India,27557
2020-05-03,India,29339
2020-05-04,India,32024
2020-05-05,India,33565
2020-05-06,India,35871
2020-05-07,India,37686
2020-05-08,India,39823
2020-05-09,India,41406
2020-05-10,India,43980
2020-05-11,India,45925
2020-05-12,India,47457
2020-05-13,India,49104
2020-05-14,India,51379
2020-05-15,India,52773
2020-05-16,India,53553
2020-05-17,India,55878
2020-05-18,India,57939
2020-05-19,India,60864
2020-05-20,India,63172
2020-05-21,India,66089
2020-05-22,India,69244
2020-05-23,India,73170
2020-05-24,India,76820
2020-05-25,India,80072
2020-05-26,India,82172
2020-05-27,India,85803
2020-05-28,India,89755
2020-05-29,India,85884
2020-05-30,India,89706
2020-05-31,India,93349
2020-06-01,India,97008
2020-06-02,India,101077
2020-06-03,India,106665
2020-06-04,India,111900
2020-06-05,India,116302
2020-06-06,India,120981
2020-06-07,India,126431
2020-06-08,India,129360
2020-06-09,India,133726
2020-06-10,India,143297
2020-06-11,India,141842
2020-06-12,India,145779
2020-06-13,India,149348
2020-06-14,India,153106
2020-06-15,India,153178
2020-06-16,India,155227
2020-06-17,India,160384
2020-06-18,India,163248
2020-06-19,India,168269
2020-06-20,India,169469
2020-06-21,India,174387
2020-06-22,India,178014
2020-06-23,India,183022
2020-06-24,India,186514
2020-06-25,India,189463
2020-06-26,India,197387
2020-06-27,India,203051
2020-06-28,India,210120
2020-06-29,India,215125
2020-06-30,India,220169
2020-07-01,India,226947
